epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,363.27,0.96166,1.15316,1.19485,0.84365,0.80278,0.87126,0.73468,0.65142,0.78717,1.05506,0.0014588,0.0014588,0.0014588
43,371.677,0.94929,1.10462,1.19561,0.85443,0.83151,0.89162,0.69519,0.82629,0.74963,1.07388,0.0014456,0.0014456,0.0014456
44,380.041,0.93595,1.10665,1.18415,0.79404,0.82459,0.8576,0.72032,0.70182,0.73718,1.10952,0.0014324,0.0014324,0.0014324
45,388.403,0.94312,1.12893,1.19172,0.76374,0.81713,0.86179,0.72082,0.69048,0.75005,1.04932,0.0014192,0.0014192,0.0014192
46,396.786,0.90831,1.0764,1.16453,0.77439,0.84444,0.87107,0.71872,0.73097,0.7234,1.11342,0.001406,0.001406,0.001406
47,405.18,0.94358,1.11483,1.18159,0.83342,0.77828,0.86987,0.69827,0.79315,0.88855,1.11812,0.0013928,0.0013928,0.0013928
48,413.602,0.91589,1.09058,1.18449,0.84332,0.82232,0.88933,0.73286,0.72001,0.69126,1.08685,0.0013796,0.0013796,0.0013796
49,421.973,0.93224,1.11177,1.18413,0.83143,0.81389,0.87975,0.72502,0.74619,0.75178,1.05943,0.0013664,0.0013664,0.0013664
50,430.317,0.94049,1.11197,1.19371,0.82267,0.79722,0.87413,0.70898,0.73747,0.76999,1.04802,0.0013532,0.0013532,0.0013532
51,438.682,0.92586,1.10406,1.1888,0.83343,0.81389,0.88976,0.72943,0.74341,0.7918,1.09541,0.00134,0.00134,0.00134
52,447.029,0.93212,1.07646,1.17996,0.81709,0.80833,0.86787,0.73224,0.63824,0.8342,1.04163,0.0013268,0.0013268,0.0013268
53,455.382,0.89638,1.06775,1.16915,0.8138,0.83889,0.89065,0.74365,0.70685,0.71894,1.05077,0.0013136,0.0013136,0.0013136
54,463.774,0.88836,1.04181,1.15316,0.83443,0.82222,0.86774,0.72939,0.69672,0.74436,1.1069,0.0013004,0.0013004,0.0013004
55,472.035,0.90953,1.07864,1.15821,0.8335,0.82778,0.8922,0.74329,0.68533,0.65521,1.08817,0.0012872,0.0012872,0.0012872
56,480.401,0.882,1.02573,1.14799,0.75764,0.86667,0.88068,0.73777,0.68933,0.76633,1.08183,0.001274,0.001274,0.001274
57,488.848,0.90159,1.03141,1.15373,0.8365,0.85272,0.90748,0.75504,0.71317,0.66936,1.06817,0.0012608,0.0012608,0.0012608
58,497.201,0.89432,1.04408,1.16027,0.85088,0.80556,0.88101,0.73995,0.70355,0.70131,1.10326,0.0012476,0.0012476,0.0012476
59,505.514,0.87327,1.00396,1.15014,0.8434,0.8378,0.90119,0.76581,0.6865,0.6795,1.06121,0.0012344,0.0012344,0.0012344
60,513.882,0.88461,1.01312,1.14984,0.84442,0.84722,0.89622,0.76458,0.63632,0.71973,1.06927,0.0012212,0.0012212,0.0012212
61,522.232,0.89281,1.04272,1.16976,0.87075,0.8421,0.90272,0.77413,0.65741,0.63144,1.07948,0.001208,0.001208,0.001208
62,530.605,0.88983,1.02603,1.15384,0.85058,0.85386,0.9089,0.73623,0.8021,0.64685,1.11677,0.0011948,0.0011948,0.0011948
63,538.966,0.88372,1.00473,1.15491,0.81911,0.81762,0.87717,0.73052,0.71058,0.70817,1.0652,0.0011816,0.0011816,0.0011816
64,547.315,0.87732,1.01451,1.14685,0.90794,0.84929,0.92646,0.78972,0.67066,0.60351,1.07012,0.0011684,0.0011684,0.0011684
65,555.7,0.869,0.99587,1.14767,0.87006,0.84722,0.91914,0.79209,0.61864,0.6549,1.05285,0.0011552,0.0011552,0.0011552
66,564.087,0.87601,0.99687,1.14091,0.86449,0.85061,0.91859,0.79526,0.58875,0.57043,1.05279,0.001142,0.001142,0.001142
67,572.584,0.85784,0.96187,1.13547,0.8623,0.86977,0.93201,0.77817,0.7394,0.63439,1.11468,0.0011288,0.0011288,0.0011288
68,580.923,0.86253,0.98098,1.14063,0.87646,0.84743,0.92788,0.79568,0.60306,0.59455,1.01472,0.0011156,0.0011156,0.0011156
69,589.315,0.87303,0.97603,1.15208,0.8739,0.85833,0.92124,0.78056,0.67305,0.62198,1.0551,0.0011024,0.0011024,0.0011024
70,597.679,0.85158,0.97773,1.13914,0.90797,0.79478,0.92041,0.74048,0.79017,0.62123,1.07832,0.0010892,0.0010892,0.0010892
71,606.068,0.86295,0.9692,1.13373,0.82356,0.86873,0.91009,0.79501,0.60308,0.69756,1.04108,0.001076,0.001076,0.001076
72,614.438,0.84462,0.96072,1.13973,0.86102,0.87769,0.92994,0.81059,0.60428,0.54999,1.06955,0.0010628,0.0010628,0.0010628
73,622.823,0.82538,0.94342,1.12562,0.89678,0.86878,0.93879,0.79265,0.68348,0.55466,1.05511,0.0010496,0.0010496,0.0010496
74,631.185,0.84949,0.95346,1.12895,0.86897,0.90263,0.93532,0.81931,0.5783,0.54612,1.04015,0.0010364,0.0010364,0.0010364
75,639.705,0.86044,0.97076,1.13928,0.87249,0.89335,0.93266,0.81181,0.61458,0.53756,1.1175,0.0010232,0.0010232,0.0010232
76,648.053,0.82234,0.89641,1.11686,0.85084,0.8873,0.92987,0.81632,0.57082,0.54944,1.02421,0.00101,0.00101,0.00101
77,656.439,0.81601,0.93175,1.11665,0.87441,0.85833,0.925,0.79343,0.62778,0.61237,1.0306,0.0009968,0.0009968,0.0009968
78,664.803,0.85945,0.95729,1.14068,0.86851,0.88072,0.93349,0.80103,0.62477,0.59376,1.04433,0.0009836,0.0009836,0.0009836
79,673.162,0.83135,0.91897,1.11525,0.90063,0.87778,0.94568,0.81811,0.62628,0.53848,1.0898,0.0009704,0.0009704,0.0009704
80,681.499,0.83433,0.94848,1.12625,0.87696,0.87222,0.93979,0.82846,0.59503,0.55195,1.08068,0.0009572,0.0009572,0.0009572
81,689.909,0.81592,0.90771,1.11214,0.89944,0.8696,0.93524,0.81858,0.58657,0.53595,1.11527,0.000944,0.000944,0.000944
82,698.266,0.81674,0.90877,1.11259,0.92692,0.87778,0.93716,0.80623,0.64861,0.54417,1.10458,0.0009308,0.0009308,0.0009308
83,706.632,0.81669,0.91466,1.11337,0.89751,0.87575,0.94057,0.83977,0.56411,0.54159,1.0992,0.0009176,0.0009176,0.0009176
84,715.027,0.83133,0.90751,1.12338,0.88952,0.89444,0.94989,0.83971,0.57031,0.51419,1.05775,0.0009044,0.0009044,0.0009044
85,723.513,0.80322,0.88404,1.10558,0.91985,0.87778,0.94529,0.82288,0.59866,0.50818,1.05722,0.0008912,0.0008912,0.0008912
86,731.862,0.82025,0.90434,1.11666,0.91503,0.87778,0.9455,0.83798,0.57273,0.48817,1.04435,0.000878,0.000878,0.000878
87,740.211,0.80333,0.86815,1.09939,0.92014,0.9,0.95207,0.82596,0.63673,0.49589,1.04018,0.0008648,0.0008648,0.0008648
88,748.534,0.80999,0.89209,1.10845,0.90193,0.88889,0.95573,0.83499,0.58042,0.46749,1.04308,0.0008516,0.0008516,0.0008516
89,756.898,0.79554,0.85542,1.09842,0.90009,0.88889,0.94419,0.80702,0.64794,0.53598,1.03971,0.0008384,0.0008384,0.0008384
90,765.258,0.7945,0.84902,1.09196,0.89637,0.9,0.95848,0.83848,0.59003,0.47661,1.05111,0.0008252,0.0008252,0.0008252
91,773.622,0.78469,0.85883,1.09425,0.93236,0.89722,0.95656,0.82172,0.65673,0.51978,1.03394,0.000812,0.000812,0.000812
92,781.966,0.79707,0.86956,1.09757,0.91349,0.88611,0.95058,0.81994,0.61202,0.53765,1.03959,0.0007988,0.0007988,0.0007988
93,790.453,0.81135,0.88555,1.1172,0.90165,0.87778,0.94165,0.83408,0.5388,0.53584,1.14061,0.0007856,0.0007856,0.0007856
94,798.811,0.78387,0.86189,1.09646,0.88993,0.92222,0.95224,0.84912,0.53948,0.53289,1.06684,0.0007724,0.0007724,0.0007724
95,807.21,0.77647,0.85029,1.0903,0.92859,0.903,0.95462,0.83034,0.5902,0.47758,1.06104,0.0007592,0.0007592,0.0007592
96,815.608,0.78191,0.84435,1.08928,0.91088,0.9085,0.95225,0.83387,0.57456,0.49406,1.02142,0.000746,0.000746,0.000746
97,823.97,0.78429,0.85509,1.10321,0.90951,0.89341,0.9538,0.84166,0.55343,0.48756,1.03476,0.0007328,0.0007328,0.0007328
98,832.669,0.78565,0.84096,1.09239,0.91672,0.91735,0.95714,0.8533,0.54719,0.48319,1.05913,0.0007196,0.0007196,0.0007196
99,841.066,0.78551,0.83001,1.08856,0.91937,0.91852,0.95834,0.87219,0.49798,0.4396,1.02949,0.0007064,0.0007064,0.0007064
100,849.45,0.76136,0.82775,1.06887,0.8776,0.92222,0.95664,0.86224,0.53107,0.4546,1.05565,0.0006932,0.0006932,0.0006932
101,857.804,0.76031,0.80477,1.08323,0.90757,0.94167,0.97153,0.8611,0.57059,0.43139,1.04109,0.00068,0.00068,0.00068
102,866.27,0.77836,0.81047,1.09553,0.92486,0.9232,0.96779,0.85726,0.57438,0.43837,1.02575,0.0006668,0.0006668,0.0006668
103,874.661,0.77806,0.81195,1.08906,0.92302,0.89933,0.96161,0.86421,0.53203,0.44729,1.05475,0.0006536,0.0006536,0.0006536
104,883.026,0.76015,0.81383,1.08537,0.91117,0.90833,0.966,0.86194,0.53511,0.44433,1.01187,0.0006404,0.0006404,0.0006404
105,891.432,0.76647,0.82433,1.08305,0.9067,0.90556,0.95944,0.86073,0.5268,0.44597,1.04475,0.0006272,0.0006272,0.0006272
106,899.786,0.7365,0.79016,1.07412,0.94487,0.90453,0.96843,0.85317,0.57279,0.45511,1.06456,0.000614,0.000614,0.000614
107,908.164,0.74431,0.77844,1.06988,0.93694,0.91389,0.9676,0.86579,0.55416,0.43333,1.0894,0.0006008,0.0006008,0.0006008
108,916.532,0.74084,0.78876,1.06629,0.92458,0.91946,0.96694,0.85093,0.57413,0.46912,1.08116,0.0005876,0.0005876,0.0005876
109,924.895,0.75719,0.81206,1.08655,0.93791,0.90556,0.96686,0.87182,0.50908,0.43319,1.04216,0.0005744,0.0005744,0.0005744
110,933.37,0.77003,0.79539,1.08327,0.93912,0.91944,0.97063,0.87886,0.51352,0.42046,1.06131,0.0005612,0.0005612,0.0005612
111,941.802,0.74519,0.78938,1.07194,0.91557,0.925,0.96682,0.86977,0.52901,0.44518,1.1192,0.000548,0.000548,0.000548
112,950.161,0.73723,0.76816,1.06115,0.92484,0.91389,0.96889,0.87744,0.51625,0.43624,1.0899,0.0005348,0.0005348,0.0005348
113,958.533,0.72793,0.74494,1.05303,0.9183,0.925,0.97038,0.87114,0.53593,0.42704,1.07284,0.0005216,0.0005216,0.0005216
114,966.906,0.73528,0.77005,1.06992,0.91931,0.925,0.96645,0.8812,0.48604,0.43043,0.98618,0.0005084,0.0005084,0.0005084
115,975.357,0.76144,0.7874,1.08875,0.94786,0.90833,0.96848,0.87484,0.54946,0.43636,1.08626,0.0004952,0.0004952,0.0004952
116,983.728,0.74017,0.77119,1.06708,0.95033,0.88611,0.9658,0.86812,0.52611,0.45139,1.0653,0.000482,0.000482,0.000482
117,992.084,0.73633,0.77556,1.06523,0.92769,0.93889,0.97329,0.88208,0.5322,0.41417,1.06218,0.0004688,0.0004688,0.0004688
118,1000.47,0.73362,0.73935,1.06638,0.92452,0.95262,0.97803,0.88619,0.50744,0.39792,1.02978,0.0004556,0.0004556,0.0004556
119,1008.99,0.70643,0.72494,1.05417,0.92739,0.95796,0.9766,0.88327,0.53929,0.39073,1.05992,0.0004424,0.0004424,0.0004424
120,1017.35,0.73543,0.76076,1.07225,0.95059,0.91389,0.97312,0.88416,0.5087,0.39865,1.03643,0.0004292,0.0004292,0.0004292
121,1025.74,0.73816,0.77023,1.07009,0.92583,0.93624,0.97334,0.8913,0.52246,0.39681,1.06104,0.000416,0.000416,0.000416
122,1034.14,0.73461,0.76302,1.06283,0.9351,0.94722,0.97589,0.8771,0.54187,0.39644,1.04177,0.0004028,0.0004028,0.0004028
123,1042.5,0.70377,0.73779,1.04981,0.93993,0.92778,0.97118,0.87587,0.51491,0.39322,1.0365,0.0003896,0.0003896,0.0003896
124,1050.91,0.70087,0.71286,1.03838,0.92921,0.94797,0.97534,0.89138,0.50004,0.39787,1.05977,0.0003764,0.0003764,0.0003764
